Groupe de couches,Index de la couche,Nom de la couche,Nombre d'objets
1aca9020-ac70-4b5b-a647-fd9b25afba91,140,C2,0
4cb1b641-c016-4656-a595-56244051b4eb,141,EXISTANT,0
922b02a7-d448-4248-a756-372cf44dcbff,142,C2.E.10,1
922b02a7-d448-4248-a756-372cf44dcbff,143,C2.E.09,8
922b02a7-d448-4248-a756-372cf44dcbff,144,C2.E.08,8
922b02a7-d448-4248-a756-372cf44dcbff,145,C2.E.07,9
922b02a7-d448-4248-a756-372cf44dcbff,146,C2.E.06,9
922b02a7-d448-4248-a756-372cf44dcbff,147,C2.E.05,5
922b02a7-d448-4248-a756-372cf44dcbff,148,C2.E.04,8
922b02a7-d448-4248-a756-372cf44dcbff,149,C2.E.03,1
922b02a7-d448-4248-a756-372cf44dcbff,150,C2.E.02,5
922b02a7-d448-4248-a756-372cf44dcbff,151,C2.E.01,75
1aca9020-ac70-4b5b-a647-fd9b25afba91,152,C1,0
8adfcbd3-1545-44a5-9224-36ca6a57e8b9,153,EXISTANT,0
79d5a1d5-f730-4c37-9da8-06a216e48c70,154,C1.E.01,27
947f0691-2e93-47d5-922a-aae0a48be4d1,155,SECTEUR D,0
50208d65-88a6-4995-afe5-f20e13d72c2f,156,D3,0
4d5a24d7-a255-4613-bcc1-f07414ae3cce,157,CONSTRUCTION,0
f1749d64-9f34-4f83-aff4-4c265e4b82e4,158,D3.C.01,7
50208d65-88a6-4995-afe5-f20e13d72c2f,159,D2,0
4096fcf0-ffa8-4a29-b25b-8e3f1e4a8a78,160,EXISTANT,0
d5ae4511-aec1-493d-b56d-68024f49c10a,161,D2.E.01,1
4096fcf0-ffa8-4a29-b25b-8e3f1e4a8a78,162,CONSTRUCTION,0
dcd1955d-1cfa-41f7-938c-fb3217a036cf,163,D2.C.07,8
dcd1955d-1cfa-41f7-938c-fb3217a036cf,164,D2.C.06,3
dcd1955d-1cfa-41f7-938c-fb3217a036cf,165,D2.C.05,8
dcd1955d-1cfa-41f7-938c-fb3217a036cf,166,D2.C.04,8
dcd1955d-1cfa-41f7-938c-fb3217a036cf,167,D2.C.03,8
dcd1955d-1cfa-41f7-938c-fb3217a036cf,168,D2.C.02,8
dcd1955d-1cfa-41f7-938c-fb3217a036cf,169,D2.C.01,8
50208d65-88a6-4995-afe5-f20e13d72c2f,170,D1,0
48e3441a-6002-46f4-9a63-f5b0482c264c,171,EXISTANT,0
847cdaa2-815b-4362-81c0-ec492c5a5356,172,D1.E.07,1
847cdaa2-815b-4362-81c0-ec492c5a5356,173,D1.E.03,3
48e3441a-6002-46f4-9a63-f5b0482c264c,174,CONSTRUCTION,0
721faa30-b59f-4160-9fc3-db38b33a06d2,175,D1.C.06,4
721faa30-b59f-4160-9fc3-db38b33a06d2,176,D1.C.05,4
721faa30-b59f-4160-9fc3-db38b33a06d2,177,D1.C.04,4
721faa30-b59f-4160-9fc3-db38b33a06d2,178,D1.C.03,7
721faa30-b59f-4160-9fc3-db38b33a06d2,179,D1.C.02,7
721faa30-b59f-4160-9fc3-db38b33a06d2,180,D1.C.01,6
947f0691-2e93-47d5-922a-aae0a48be4d1,181,SECTEUR E,0
f1525b4f-9512-4d9b-a38b-e94e46601aca,182,E4,0
f7dd5f23-a45a-4458-a272-fb8f0d56c6c4,183,EXISTANT,0
a18391c7-eb8a-42b1-800d-dc9310e4e9ae,184,E4.E.07,2
a18391c7-eb8a-42b1-800d-dc9310e4e9ae,185,E4.E.04,1
f7dd5f23-a45a-4458-a272-fb8f0d56c6c4,186,CONSTRUCTION,0
6b590b84-1e89-4e17-853a-93e2ce56b5c2,187,E4.C.01,9
f1525b4f-9512-4d9b-a38b-e94e46601aca,188,E2,0
ca6781c2-486d-4c29-85e4-60fa60a8dd62,189,EXISTANT,0
42f77990-6a5e-4c8d-99e8-443d6315f7eb,190,E2.E.04,6
42f77990-6a5e-4c8d-99e8-443d6315f7eb,191,E2.E.03,7
42f77990-6a5e-4c8d-99e8-443d6315f7eb,192,E2.E.02,6
42f77990-6a5e-4c8d-99e8-443d6315f7eb,193,E2.E.01,7
f1525b4f-9512-4d9b-a38b-e94e46601aca,194,E1,0
c7fa7c64-c4a7-4cff-8dc5-2aa168b556af,195,EXISTANT,0
734bc213-4022-432c-9590-8a96664d8a35,196,E1.E.01,5
c7fa7c64-c4a7-4cff-8dc5-2aa168b556af,197,CONSTRUCTION,0
2f4eea1c-0f95-4c5f-b0cf-405a6d41ca09,198,E1.C.02,3
2f4eea1c-0f95-4c5f-b0cf-405a6d41ca09,199,E1.C.01,7
947f0691-2e93-47d5-922a-aae0a48be4d1,200,SECTEUR F,0
44124160-5831-475f-8398-df36d14c5188,201,F4,0
2e0bc153-9ab7-476e-bd32-37f15aab7dcd,202,CONSTRUCTION,0
